205.210.31.85 - - [12/Nov/2025:02:02:11 +0000] "GET / HTTP/1.1" 200 625 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
51.161.174.170 - - [12/Nov/2025:03:21:22 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; ModatScanner/1.2; +https://modat.io/)"
178.22.24.133 - - [12/Nov/2025:04:55:06 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
65.49.1.66 - - [12/Nov/2025:08:01:51 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0"
65.49.1.75 - - [12/Nov/2025:08:02:03 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
127.0.0.1 - - [12/Nov/2025:10:27:16 +0000] "GET / HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
127.0.0.1 - - [12/Nov/2025:10:27:19 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
127.0.0.1 - - [17/Nov/2025:14:58:51 +0000] "POST /api/auth/refresh HTTP/1.1" 200 410 "-" "node"
127.0.0.1 - - [17/Nov/2025:14:58:51 +0000] "POST /api/auth/refresh HTTP/1.1" 200 410 "-" "node"
127.0.0.1 - - [17/Nov/2025:14:58:51 +0000] "GET /api/secure/documents/main-doc-types?isActive=true HTTP/1.1" 401 125 "-" "node"
127.0.0.1 - - [17/Nov/2025:14:58:51 +0000] "GET /api/penalty-types?limit=1000 HTTP/1.1" 200 184897 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:00:21 +0000] "GET /api/secure/documents/main-doc-types?isActive=true HTTP/1.1" 401 125 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:00:21 +0000] "GET /api/penalty-types?limit=1000 HTTP/1.1" 200 184897 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:00:24 +0000] "POST /api/auth/refresh HTTP/1.1" 200 410 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:30 +0000] "GET /api/secure/getWorkAreas HTTP/1.1" 200 1702 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:30 +0000] "GET /api/asset-assignments?activeOnly=true HTTP/1.1" 200 416 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:30 +0000] "GET /api/secure/personnel HTTP/1.1" 200 1426 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:30 +0000] "GET /api/secure/vehicles HTTP/1.1" 200 7655 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:31 +0000] "GET /api/dashboard/personnel HTTP/1.1" 200 1782 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:37 +0000] "GET /api/secure/documents/main-doc-types?isActive=true HTTP/1.1" 401 125 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:37 +0000] "GET /api/secure/ownership-types?limit=100&sortBy=name&sortOrder=asc&activeOnly=true HTTP/1.1" 200 250 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:37 +0000] "GET /api/secure/companies?limit=100&sortBy=name&sortOrder=asc&activeOnly=true HTTP/1.1" 200 1976 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:37 +0000] "GET /api/rental-agreements?limit=100&isActive=true HTTP/1.1" 200 416 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:37 +0000] "GET /api/secure/car-brands?limit=100&sortBy=name&sortOrder=asc HTTP/1.1" 200 4392 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:55 +0000] "POST /api/auth/refresh HTTP/1.1" 200 410 "-" "node"
127.0.0.1 - - [17/Nov/2025:15:01:55 +0000] "GET /api/secure/documents/main-doc-types?isActive=true HTTP/1.1" 401 125 "-" "node"
