127.0.0.1 - - [03/Nov/2025:11:31:48 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:48 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:48 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:53 +0000] "POST /api/auth/login HTTP/1.1" 200 639 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:53 +0000] "GET /api/asset-assignments?activeOnly=true HTTP/1.1" 200 416 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:53 +0000] "GET /api/secure/vehicles HTTP/1.1" 200 1079 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:53 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:53 +0000] "GET /api/secure/getWorkAreas HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:53 +0000] "GET /api/maintenance-records HTTP/1.1" 200 1824 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:56 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:56 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:56 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:56 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:56 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:11:31:57 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:11:52 +0000] "POST /api/auth/login HTTP/1.1" 401 87 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:11:56 +0000] "POST /api/auth/login HTTP/1.1" 401 87 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:11 +0000] "POST /api/auth/login HTTP/1.1" 200 639 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:12 +0000] "GET /api/secure/vehicles HTTP/1.1" 200 1079 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:13 +0000] "GET /api/secure/getWorkAreas HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:13 +0000] "GET /api/asset-assignments?activeOnly=true HTTP/1.1" 200 416 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:13 +0000] "GET /api/maintenance-records HTTP/1.1" 200 1824 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:13 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:19 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:19 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:19 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:19 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
