139.144.52.241 - - [10/Nov/2025:04:42:27 +0000] "GET /fog/management/index.php?node=client&sub=logininfo HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:27 +0000] "GET /default.html HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:27 +0000] "GET /NmapUpperCheck1762749744 HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:27 +0000] "GET /login.php HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:27 +0000] "GET /login.html HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:27 +0000] "GET /p/login/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:27 +0000] "GET /default.jsp HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:27 +0000] "GET /Nmap/folder/check1762749744 HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:27 +0000] "GET /geoserver/web/wicket/bookmarkable/org.geoserver.web.AboutGeoServerPage HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:27 +0000] "GET /api/version HTTP/1.1" 404 202 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /portal/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /main.asp HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /CFIDE/componentutils/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /lms/db HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /info.asp HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /cgi-bin/param.cgi?get_device_conf HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /indice.jsp HTTP/1.1" 200 625 "-" "curl/7.54.0"
