127.0.0.1 - - [26/Oct/2025:10:16:52 +0000] "GET /info.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/info.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:53 +0000] "GET /php.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/php.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:53 +0000] "GET /php_info.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/php_info.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:53 +0000] "GET /i.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/i.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:53 +0000] "GET /pi.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/pi.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:54 +0000] "GET /config.phpinfo HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/config.phpinfo" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:54 +0000] "GET /admin/phpinfo.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/admin/phpinfo.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:54 +0000] "GET /.aws/credentials HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/.aws/credentials" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:55 +0000] "GET /pinfo.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/pinfo.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:55 +0000] "GET /phpinfo2.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/phpinfo2.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:55 +0000] "GET /php_version.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/php_version.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:56 +0000] "GET /version.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/version.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [26/Oct/2025:10:16:56 +0000] "GET /server-info.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/server-info.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
