127.0.0.1 - - [02/Nov/2025:20:40:27 +0000] "GET /wp-login.php HTTP/1.1" 200 625 "https://t.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6_1; rv:120.0) Gecko/20100101 Firefox/120.0"
127.0.0.1 - - [02/Nov/2025:20:40:27 +0000] "GET /wp-admin/ HTTP/1.1" 200 625 "https://www.google.com/search?q=wordpress" "Mozilla/5.0 (Windows NT 11.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
127.0.0.1 - - [02/Nov/2025:22:12:27 +0000] "GET /wp-content/plugins/hellopress/wp_filemanager.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:27 +0000] "GET /shoha.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:27 +0000] "GET /atomlib.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /cong.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /g.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /log.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /1index.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /fmk.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /xl2023.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /new.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /AxAo.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /chosen.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /update/f35.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:28 +0000] "GET /.well-known/pki-validation/dropdown.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /wp-content/packed.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /v3.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /sto.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /bless.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /wp-2019.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /.well-known/log.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /zhidagen.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /bb2.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /nc.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /er8.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:29 +0000] "GET /file2.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /xmlrpc.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /wp-head.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /uploadx.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /nl.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /bless2.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /menu.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /okxoby.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /filesss.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /af4.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /about.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:30 +0000] "GET /wp-admin/js/about.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /.bod/.ll/ss.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /555.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /gdn.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /class17.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /class.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /222.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /wp.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /makeasmtp.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /radio.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /manager.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /we2.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:31 +0000] "GET /wp-includes/IXR/about.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /mar.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /lv.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /mail.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /wp-content/themes/aahana/json.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /aipoyp.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /db.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /m.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /up.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /dfre.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /men.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:32 +0000] "GET /media.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:33 +0000] "GET /wp-content/cong.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:33 +0000] "GET /uplozyu.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:33 +0000] "GET /wp-includes/Text/wp-conflg.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:33 +0000] "GET /shell.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:33 +0000] "GET /system.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:33 +0000] "GET /num.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:33 +0000] "GET /zc-749.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:33 +0000] "GET /bala.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:33 +0000] "GET /item.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [02/Nov/2025:22:12:33 +0000] "GET /000.php HTTP/1.1" 200 625 "-" "-"
